mode,epoch,n_valid,h_0,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,h_10,h_11,h_12,h_13,h_14,h_15,h_16,h_17,h_18,h_19,h_20,h_21,h_22,h_23,h_24,h_25,h_26,h_27,h_28,h_29,h_30,h_31,h_32,h_33
0.0,0.0,1.0,0.6808510638297872,0.0,0.02127659574468085,0.0,0.02127659574468085,0.0425531914893617,0.0,0.02127659574468085,0.0,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.0,0.0,0.0,0.0,0.0,0.0,0.02127659574468085,0.0,0.0,0.02127659574468085,0.0,0.02127659574468085,0.02127659574468085,0.0,0.0,0.0,0.02127659574468085,0.0,0.02127659574468085,0.0,0.0
0.0,0.0,2.0,0.8368387507966858,0.8045889101338433,0.02345442957297642,0.021797323135755258,0.017208413001912046,0.01312938177182919,0.011982154238368388,0.012619502868068833,0.01491395793499044,0.011217335882727853,0.010707456978967494,0.013256851497769279,0.011089866156787764,0.015678776290630976,0.012237093690248566,0.00981516889738687,0.010452517527087316,0.010579987253027405,0.008667941363926068,0.008795411089866157,0.00854047163798598,0.007010834926704908,0.008413001912045888,0.006373486297004461,0.009177820267686425,0.008922880815806247,0.0082855321861058,0.010452517527087316,0.009432759719566603,0.010579987253027405,0.011472275334608031,0.008667941363926068,0.0067558954748247295,0.006883365200764819
0.0,0.0,3.0,0.8481811142143684,0.821339389035351,0.7128500952728981,0.0802206502919092,0.043799430972827645,0.03297573368832276,0.028303446355702887,0.024640442692699226,0.023805173448878912,0.023135217909564704,0.022082430633499517,0.02161259168385059,0.021316767159997564,0.020890431816797613,0.019811542376863042,0.01717522382605518,0.01691420218736133,0.016748888482855228,0.0161137358287002,0.01585271419000635,0.01535677307648804,0.012520337936014895,0.012059199707655765,0.012085301871525149,0.011806878790251711,0.011763375183802736,0.012294119182480228,0.014251781472684086,0.014582408881696292,0.013860249014643314,0.012337622788929203,0.011754674462512943,0.00968390279554175,0.007874152767264405
0.0,0.0,4.0,0.8571034067230688,0.8387517887178972,0.8074335350086611,0.6896982401526373,0.11800517159139406,0.06364069992217508,0.04781839178570532,0.041510807621821105,0.037691738006175785,0.035576657545251425,0.03369693470238245,0.032761780433309066,0.03128373459192127,0.03029523259608867,0.029746064820626115,0.024709411794240955,0.023667562071649134,0.022675921974242463,0.022556674114427737,0.02179097733035423,0.021116285491928802,0.015759546104988326,0.01470828207767429,0.014956192102025959,0.014413300529711546,0.014306605076193106,0.014221876333693168,0.014319157482489393,0.0135409082921196,0.012853664047397887,0.011447794542213742,0.010691512062862452,0.009386061808048603,0.007864082544623804
0.0,0.0,5.0,0.864705375231691,0.8478145609724557,0.8232466916677443,0.7648174490279753,0.6072352256562783,0.17453122979438768,0.10154532522953576,0.0744924350187508,0.06116858485279538,0.054239406870985815,0.04946333893702315,0.0456679167205483,0.04352989352989353,0.04145868356394672,0.04040691409112462,0.03259407733091944,0.031186689081425925,0.03067373593689383,0.030253459200827622,0.029214621319884476,0.027677917151601363,0.02028320186214923,0.019996551575498945,0.01935859304280357,0.019067632225526963,0.018365015733436785,0.017819733609207293,0.019272382430277166,0.018862882020776756,0.017535238587870167,0.015888615888615888,0.014830380619854304,0.012627699469804732,0.010168541747489115
0.0,0.0,6.0,0.873329790542809,0.858352231649066,0.8415579627306676,0.8098149715855841,0.7439612929537605,0.5965441314292894,0.20632429303821065,0.12679070553025482,0.09459559664094024,0.07801451308257791,0.06842735116675215,0.0617341547663921,0.05712852708483954,0.05391117894593743,0.05110578319357849,0.04189967723530515,0.040003666376240234,0.03826625718599444,0.03699847371640786,0.035998459298074326,0.034248691536232244,0.024061109017019813,0.0232001285291446,0.022504958876853012,0.021833476486787656,0.02149258588692319,0.02101575099949948,0.02060585837488903,0.020175368130951426,0.019112530973670064,0.017109412494103932,0.015665519379270142,0.013277225418286154,0.010938365743687345
0.0,0.0,7.0,0.8808850556672219,0.8684415709345714,0.8571707938211662,0.8394789203748614,0.802015563532527,0.7230777214664351,0.5757443813824913,0.23811533924349285,0.1523779447428777,0.11435196670598897,0.0941691179821075,0.08219775407188387,0.0740919585039972,0.06822272458015421,0.0638160526142583,0.05266678649000319,0.04943092353414712,0.04749117779589192,0.045629275035060986,0.044190129257314706,0.04230860753469392,0.02985562975601606,0.02832851508508301,0.02736718595738002,0.02641281839676376,0.02541351708495137,0.02456167442143049,0.022015006607160034,0.020994820594087478,0.01966452841078815,0.01760643603205865,0.01639828770764456,0.013875036073574903,0.011632778601914811
0.0,0.0,8.0,0.886870889605057,0.8745310210456821,0.865550088447533,0.8532875108402861,0.8326632483822958,0.7934601733065575,0.7167995104906365,0.5717197926946248,0.2538874358496599,0.16643548390806978,0.12724989130959857,0.10586284076453634,0.09242387646329485,0.08321383139990937,0.07665146151209626,0.06434149719015185,0.06030442513704192,0.05726017376662273,0.0541933792018329,0.052928659991120744,0.05056484503854196,0.03749899360739417,0.03533070636109137,0.03424633270534435,0.03288960045638467,0.031760600477087605,0.03049174067965431,0.028077318556039392,0.0267730337388808,0.02523595593495598,0.022933329652811803,0.021174500426710464,0.01805479836492831,0.015333052693566678
0.0,0.0,9.0,0.8920610286716701,0.8803994577557551,0.8735443784173927,0.8649747512012339,0.8516595791253083,0.8292804630498204,0.787817503223044,0.7074596448440243,0.5679826921695398,0.27233197962460454,0.18297475483210215,0.14209480871418764,0.11846200568645844,0.10379174169380524,0.09290354572443214,0.07869310526639292,0.07270969366623554,0.06814569222114997,0.0646800284348857,0.062277690363182786,0.059451318744331634,0.045717040728227694,0.04342155392345144,0.04148993199124338,0.03988197603263839,0.038389170468488346,0.03685020100746221,0.032290867821611294,0.030332273724936312,0.028670373437397475,0.026125653459037453,0.024343415822338503,0.021074078271665197,0.01771759988194491
0.0,0.0,10.0,0.8957602798385591,0.8849416847981237,0.8791992418773338,0.8728176963974864,0.8632218567709097,0.847521899055781,0.8195389374978088,0.7708251202185362,0.6845471690958407,0.5507870996084178,0.2943309653328449,0.20603875898553514,0.1620996978527728,0.13673932843611086,0.11924315804310481,0.10073529885244153,0.09118042045900908,0.08434436627427355,0.07887148046417485,0.07561855039447993,0.07145713952505003,0.056481247625500566,0.05344009965206205,0.05085399699355281,0.04844855304891093,0.04650709791988484,0.044396074017842645,0.037771623059349786,0.0354178725486759,0.0332431709217458,0.030342078169057922,0.02816397801186695,0.024462441947737043,0.020651616305218067
